id gender age friends
SUB43541 F 74 6
SUB28768 M 73 3
SUB61358 F 73 6
SUB69148 M 68 1
SUB43083 F 75 6
SUB77275 F 68 2
SUB88131 F 67 5
SUB27258 M 70 5
SUB96779 M 67 0
SUB25133 F 69 3
SUB49232 M 69 0
SUB72425 M 66 4
SUB69277 M 72 6
SUB96279 F 70 4
SUB23954 M 68 3
SUB59872 F 74 7
SUB59601 M 68 2
SUB23065 M 68 1
SUB47750 F 65 5
SUB66482 F 70 5
SUB45006 M 74 1
SUB86976 M 72 3
SUB72970 F 65 3
SUB55273 F 71 6
SUB36442 F 75 1
SUB18462 M 68 1
SUB28938 F 72 4
SUB35687 M 70 2
SUB82362 M 74 1
SUB85749 F 72 1
SUB68372 F 74 2
SUB55881 F 73 1
SUB82803 M 73 0
SUB72449 F 69 2
SUB82473 M 73 7
SUB96245 M 74 5
SUB95475 F 75 4
SUB56334 M 69 0
SUB22896 M 68 5
SUB82040 F 67 3
SUB96161 M 68 2
SUB91054 F 65 1
SUB48650 F 69 3
SUB94860 M 72 7
SUB71625 M 70 3
SUB14282 F 65 1
SUB38145 F 71 1
SUB75269 M 71 1
SUB30389 M 71 1
SUB27518 M 65 2
SUB20909 F 65 3
SUB22841 F 67 4
SUB79260 M 66 5
SUB23045 F 67 1
SUB43460 F 65 0
SUB46633 F 73 2
SUB84346 M 74 2
SUB17679 F 65 4
SUB39900 F 74 6
SUB94465 F 69 1
SUB77116 M 67 6
SUB12796 F 69 2
SUB85872 M 74 5
SUB53295 F 66 2
SUB16426 M 69 2
SUB77172 F 66 1
SUB40134 M 72 1
SUB48587 M 70 6
SUB43206 M 75 1
SUB24529 M 72 8
SUB77329 F 73 5
SUB72446 F 69 9
SUB55382 M 73 1
SUB25661 F 65 4
SUB92847 F 72 4
SUB86523 M 69 2
SUB19171 M 73 4
SUB52483 F 73 9
SUB67531 M 65 1
SUB89743 M 67 3
SUB43989 F 71 2
SUB58397 M 68 1
SUB56431 F 75 2
SUB62383 F 74 2
SUB78891 F 68 1
SUB77226 F 70 3
SUB35454 M 75 2
SUB25300 F 67 4
SUB21510 F 69 9
SUB93316 F 70 1
SUB27608 F 71 3
SUB44149 M 74 1
SUB43636 M 65 1
SUB58061 M 73 1
SUB15915 F 65 0
SUB11078 M 68 0
SUB78589 M 70 6
SUB19126 F 75 7
SUB94025 M 75 10
SUB37539 F 67 10
SUB23198 M 67 2
SUB55894 F 74 1
SUB44936 M 66 1
SUB12524 F 73 0
SUB21839 M 69 9
SUB92996 F 73 8
SUB62007 F 65 3
SUB93476 M 70 1
SUB30086 M 66 1
SUB90691 F 71 3
SUB67329 F 67 1
SUB30758 F 66 7
SUB33233 F 68 3
SUB14994 M 74 0
SUB49526 F 72 2
SUB33655 M 74 3
SUB36759 M 65 10
SUB23320 F 75 5
SUB12468 M 68 6
SUB29934 M 65 3
SUB56853 M 67 0
SUB90087 M 72 1
SUB55101 F 69 3
SUB44403 M 73 1
SUB93945 M 71 1
SUB23973 F 70 2
SUB83925 M 66 2
SUB78705 F 74 4
SUB95560 M 69 1
SUB34926 F 65 1
SUB64388 F 74 5
SUB31939 M 66 4
SUB33592 F 69 4
SUB10458 F 75 4
SUB77536 M 68 1
SUB17240 F 70 0
SUB50560 M 71 4
SUB87286 M 75 2
SUB58423 F 71 5
