"V1","V2","V3","V4","V5"
-0.891,119.701,100.948,82.121,109.093
-0.64,106.711,109.249,124.148,104.836
0.922,105.238,72.097,100.612,106.945
0.743,92.322,97.232,105.388,89.75
-0.211,100.725,80.167,99.489,67.2
0.976,98.491,99.697,105.079,112.584
0.069,102.475,107.072,84.849,120.082
-0.455,114.971,106.494,128.201,94.724
0.353,119.647,120.448,79.548,110.58
0.225,92.345,102.297,76.64,108.735
0.852,113.525,105.556,91.33,97.756
-0.715,99.826,98.979,78.922,108.261
0.048,128.711,101.099,123.528,97.123
-0.848,98.46,91.79,118.563,124.725
0.255,79.28,97.486,100,67.728
-0.537,98.577,107.308,120.836,91.816
0.871,84.888,95.209,107.793,103.122
0.843,93.204,106.345,82.353,108.643
-0.921,83.664,95.4,73.547,109.13
0.784,110.222,101.902,114.329,92.473
-0.14,92.999,84.708,106.724,108.141
0.901,84.175,98.618,96.09,84.4
-0.115,100.155,98.635,104.641,109.646
0.808,116.95,113.387,110.27,87.205
-0.185,77.152,121.061,87.108,80.009
-0.092,100.416,94.049,109.87,106.689
-0.117,104.965,87.108,96.652,97.482
-0.13,97.226,92.825,101.628,91.802
-0.408,103.136,97.125,103.683,67.12
0.175,119.894,94.153,81.219,134.395
-0.729,87.117,99.575,107.084,97.1
-0.085,105.772,96.22,78.116,99.531
-0.967,97.416,119.369,97.21,100.712
-0.61,107.958,109.282,96.108,81.557
-0.792,91.885,124.817,104.796,93.099
0.513,83.611,101.36,120.035,99.185
0.148,107.004,91.081,135.988,83.882
0.275,85.483,126.804,117.878,68.259
0.211,65.346,78.678,102.376,99.981
0.709,99.199,87.567,97.696,79.526
0.332,122.747,123.04,115.739,102.001
-0.481,80.489,142.543,125.403,96.562
0.903,101.034,97.002,86.097,92.1
-0.362,91.921,64.988,71.764,94.108
-0.396,119.626,111.308,90.125,100.222
-0.046,130.405,100.032,85.808,100.871
0.747,106.837,118.522,99.309,98.71
0.873,85.617,96.326,111.412,103.87
0.359,112.163,126.079,104.184,74.959
-0.262,140.706,90.07,97.132,113.584
0.31,90.699,107.894,104.136,78.165
0.77,105.202,123.125,82.214,112.599
-0.824,106.637,135.329,116.046,100.674
-0.131,95.762,93.453,98.465,114.747
0.375,82.024,100.889,115.769,112.334
0.878,90.622,111.279,91.842,94.039
0.059,84.382,92.181,110.495,89.292
-0.992,82.435,95.093,102.61,102.16
0.551,99.054,82.552,70.899,110.375
0.602,90.12,118.755,87.434,106.661
-0.348,104.653,72.845,98.512,120.951
0.125,88.8,101.779,89.096,103.275
-0.766,94.557,115.621,105.12,97.141
-0.857,86.431,84.794,132.421,101.023
-0.422,91.944,95.983,101.066,115.873
0.696,118.099,76.564,92.091,82.948
0.032,120.085,111.243,127.955,98.546
0.046,90.299,77.79,100.719,110.926
-0.781,104.323,109.53,92.186,116.136
-0.625,96.674,107.63,105.783,76.332
-0.895,95.539,93.225,73.935,107.063
-0.817,94.824,117.805,115.191,83.32
-0.582,101.064,123.765,75.356,87.994
-0.033,90.88,108.19,103.351,92.114
-0.609,69.438,79.992,94.238,107.957
-0.71,96.787,89.114,89.56,103.589
-0.76,90.929,87.53,143.389,92.828
0.029,106.348,82.449,89.82,95.825
0.936,104.457,101.74,108.455,122.41
0.765,116.652,81.411,126.28,92.789
0.117,112.395,82.453,105.175,70.767
-0.679,109.274,97.136,86.738,102.2
0.758,105.13,99.958,111.947,118.208
-0.892,72.708,98.274,94.623,68.629
0.477,108.827,129.856,91.484,84.234
-0.094,77.34,117.711,115.866,106.476
0.017,98.358,123.136,102.073,93.499
-0.806,95.42,98.262,92.769,106.478
0.526,76.432,92.746,121.518,88.878
-0.864,110.198,124.035,91.497,91.602
0.248,99.168,92.019,113.549,105.233
0.878,69.98,111.267,117.424,98.47
0.858,110.015,101.052,122.56,109.77
-0.957,107.351,102.997,91.108,115.561
0.701,118.052,90.17,83.273,112.848
-0.354,96.454,102.022,85.206,85.816
-0.445,98.754,98.834,80.916,109.871
0.245,79.421,83.389,96.827,118.872
-0.88,94.549,89.811,95.841,107.247
0.677,116.715,98.309,105.229,113.019
0.562,87.809,99.574,94.405,93.798
0.226,104.227,120.137,91.663,116.605
0.066,110.974,112.949,105.868,123.582
0.887,122.637,114.985,86.182,69.428
-0.79,105.62,102.067,99.85,136.058
0.441,104.783,106.842,102.276,111.091
-0.26,91.273,104.404,99.137,113.038
-0.238,90.647,89.864,109.013,111.701
-0.236,116.268,105.133,109.721,103.102
-0.367,108.528,83.698,70.12,111.13
-0.229,94.479,100.668,97.483,89.376
-0.185,89.575,109.002,107.477,91.96
-0.576,97.047,75.673,99.779,106.365
0.866,116.628,87.061,104.791,99.633
0.538,125.001,114.347,121.102,118.399
-0.206,101.506,119.616,104.127,97.85
-0.297,116.988,80.215,103.877,93.472
-0.521,96.888,104.689,108.314,99.12
-0.835,98.297,101.494,76.355,111.308
0.661,95.669,86.209,111.055,117.989
0.442,81.308,121.754,93.746,91.762
-0.212,113.991,107.537,91.499,97.625
0.221,88.366,130.346,126.018,124.519
0.399,59.267,100.286,78.288,95.322
0.783,114.696,87.963,108.517,103.107
0.68,118.653,90.481,101.296,106.141
-0.992,111.76,84.767,92.655,79.84
-0.116,95.753,98.654,94.053,85.72
-0.214,100.078,100.624,82.126,111.507
0.151,89.285,68.525,103.984,105.792
-0.593,110.182,74.712,87.374,103.077
0.324,92.603,89.643,95.488,99.939
-0.044,111.382,102.198,123.352,98.653
0.363,113.693,94.829,108.047,105.638
-0.903,103.933,99.855,96.523,118.681
0.86,86.966,81.681,104.777,103.02
-0.904,99.488,65.119,92.672,124.561
-0.08,104.658,81.044,109.352,98.416
-0.913,132.184,128.869,105.09,81.443
0.119,76.498,95.445,105.142,92.791
-0.324,112.938,100.843,89.733,94.638
0.389,124.887,122.282,111.42,118.156
0.404,94.512,102.723,95.316,71.549
0.58,105.737,90.319,110.77,107.006
-0.072,102.192,110.514,132.615,85.013
-0.235,124.234,95.149,99.706,109.355
0.518,100.994,108.873,126.841,80.851
-0.401,137.975,125.397,83.797,103.457
0.104,95.192,95.505,86.98,84.84
-0.183,101.965,99.977,111.495,120.309
0.878,102.617,93.819,98.553,109.526
-0.413,122.594,97.034,92.329,140.884
0.114,113.611,91.699,83.596,84.824
-0.054,104.889,113.353,101.524,114.471
-0.169,74.114,96.856,98.969,94.946
-0.993,95.571,115.42,100.375,88.215
0.426,85.987,119.336,116.643,85.751
0.811,100.627,104.871,107.992,112.666
0.989,84.353,95.417,92.22,124.392
-0.813,65.912,121.397,121.869,117.888
-0.557,86.246,108.554,99.945,97.148
-0.406,94.309,84.092,111.49,95.962
0.809,128.049,92.815,130.706,108.545
-0.688,121.688,96.539,110.323,96.664
-0.762,104.217,99.542,121.506,79.425
-0.437,106.297,82.604,74.199,84.053
0.194,107.445,122.808,95.321,87.135
-0.756,114.729,100.135,93.16,90.611
-0.497,104.87,103.978,112.152,105.067
0.016,108.857,95.411,74.184,108.761
-0.317,96.05,88.391,124.485,95.413
0.04,125.387,103.369,95.776,100.349
0.933,103.319,88.539,95.393,109.453
-0.975,90.677,97.335,102.797,71.75
0.966,78.653,96.15,116.59,85.706
-0.739,131.513,85.704,66.949,77.949
-0.233,86.726,71.113,109.763,98.616
0.737,111.797,87.88,58.432,107.096
-0.215,75.708,131.346,109.483,107.16
-0.565,110.176,106.333,92.876,77.668
-0.285,99.4,91.162,116.957,108.064
-0.118,87.894,92.573,113.207,70.362
-0.848,80.319,88.23,110.215,98.736
-0.371,115.96,111.604,107.913,119.729
0.417,124.517,89.378,94.762,89.606
0.962,99.452,122.941,97.299,103.243
0.229,112.805,127.776,71.92,84.229
0.565,76.448,93.921,112.656,86.865
0.237,93.214,92.157,105.962,112.148
-0.29,99.455,103.533,102.675,92.744
-0.537,80.575,102.093,109.411,103.952
-0.521,106.388,80.084,99.283,115.114
0.249,109.534,113.625,83.622,110.876
-0.997,103.457,78.962,94.376,95.196
-0.584,98.157,88.702,122.034,96.784
-0.594,94.919,93.463,92.206,93.676
-0.093,123.985,112.29,102.055,125.348
-0.038,96.625,99.762,97.671,107.072
0.349,98.282,103.458,95.86,116.009
0.8,121.713,106.709,111.139,76.823
0.684,112.327,90.093,123,104.187
0.766,87.13,84.868,114.366,90.27
-0.321,90.054,113.301,94.424,130.795
0.387,139.471,86.331,84.855,76.138
0.784,80.627,97.588,52.012,77.235
0.326,115.776,97.92,128.934,90.48
-0.9,121.548,88.564,102.786,103.616
-0.938,84.337,90.515,109.487,112.473
-0.803,105.968,105.315,123.797,113.473
-0.233,85.204,107.304,96.32,84.722
-0.24,114.034,101.171,94.079,93.179
0.535,107.713,91.888,111.764,100.399
-0.907,93.555,123.519,79.292,102.561
-0.023,105.91,91.135,103.775,100.108
-0.017,81.268,124.162,118.973,113.405
0.072,97.959,107.799,105.899,94.301
-0.697,75.993,113.981,102.494,104.558
0.769,131.707,90.81,87.024,95.734
-0.732,95.512,80.622,85.757,89.586
-0.249,101.585,119.557,97.668,99.172
0.24,94.688,77.746,93.285,106.519
-0.1,109.004,81.923,124.442,56.716
-0.143,83.037,101.873,115.869,93.693
-0.502,107.439,84.813,91.334,97.312
0.237,75.856,112.801,123.294,107.83
-0.643,63.318,99.749,115.259,95.601
0.045,102.13,111.153,91.413,117.278
0.184,105.76,112.248,105.232,86.476
-0.625,84.952,86.18,109.704,82.18
0.629,135.817,88.359,80.852,89.759
-0.752,116.687,81.454,99.542,106.594
-0.092,103.798,84.855,98.235,107.318
-0.909,110.364,105.052,94.952,84.935
-0.09,94.324,96.996,103.923,73.455
-0.167,99.499,122.018,94.06,98.464
0.014,112.591,112.471,124.752,101.029
-0.721,110.831,112.142,98.18,94.361
0.202,113.205,109.542,80.616,100.621
0.937,100.158,93.258,69.701,121.716
0.924,133.92,112.055,108.5,93.012
0.363,85.562,75.635,103.549,84.384
-0.508,111.738,86.203,102.171,103.527
-0.888,101.849,114.34,107.145,78.659
0.673,96.29,105.392,107.573,113.2
0.259,99.629,111.185,87.018,85.519
0.108,90.099,90.405,90.151,103.28
-0.099,95.605,123.491,82.373,91.719
0.588,117.157,97.87,88.392,99.007
-0.439,86.6,119.267,89.671,102.768
-0.26,90.78,119.713,95.54,122.497
0.223,78.78,84.769,111.785,89.525
-0.348,97.194,111.507,87.856,72.726
-0.83,87.185,90.853,94.872,98.856
0.571,100.081,99.518,52.471,100.008
-0.886,90.97,94.145,92.788,87.562
-0.399,113.178,103.956,96.167,95.124
-0.974,110.309,91.042,115.666,102.427
0.032,118.918,61.813,85.014,120.734
0.141,102.571,118.641,93.892,118.365
0.305,119.653,91.994,96.146,108.419
0.103,86.112,93.324,153.377,117.329
-0.068,99.746,101.231,115.093,108.011
-0.156,92.854,69.539,87.794,112.782
-0.42,76.02,104.661,125.428,96.265
0.658,105.802,123.547,94.701,107.418
0.047,101.412,102.73,73.666,79.299
0.749,110.28,96.353,107.295,102.21
-0.448,80.878,103.796,93.591,97.861
0.186,92.316,102.34,120.075,113.447
0.575,104.796,113.295,116.658,101.234
0.205,95.851,106.463,109.281,115.735
0.068,116.363,96.645,99.625,101.771
-0.463,133.883,111.246,104.198,89.828
0.417,118.3,95.673,100.53,94.597
0.797,88.364,77.64,101.126,65.651
0.321,79.322,92.652,110.192,121.755
0.436,78.624,103.232,123.716,121.019
0.785,107.41,92.064,78.849,127.458
0.281,108.803,88.469,92.189,74.027
0.184,94.131,79.851,112.239,103.422
-0.907,111.774,112.928,96.716,135.306
0.326,94.143,142.526,86.567,89.631
-0.576,102.394,72.452,82.179,102.855
-0.613,122.429,116.947,86.743,96.13
0.578,93.916,95.277,89.814,102.082
0.201,123.152,101.915,93.424,103.327
0.024,102.96,119.275,83.071,129.728
-0.816,114.971,107.265,92.808,104.945
-0.279,93.945,88.685,71.815,111.201
-0.943,97.218,114.036,95.458,98.68
-0.74,109.835,102.155,103.34,68.885
-0.822,88.234,114.705,101.147,78.099
0.981,109.51,110.353,84.799,114.114
0.082,89.122,89.533,111.037,78.547
-0.584,107.677,80.845,110.121,81.975
0.907,110.92,95.541,49.641,97.115
-0.259,94.409,111.664,103.514,104.595
-0.936,88.085,113.24,72.447,67.708
-0.833,94.052,91.389,104.088,110.348
-0.308,105.843,101.149,98.895,114.039
-0.103,86.38,124.971,70.765,126.157
0.678,111.304,101.624,71.166,92.335
-0.279,92.295,115.658,84.611,111.304
-0.767,128.446,124.048,80.886,109.29
0.47,135.053,116.607,110.367,82.639
0.007,106.86,113.985,110.692,132.306
0.315,102.998,86.878,85.111,97.976
-0.627,91.905,77.324,79.396,79.357
0.513,115.152,114.633,104.432,102.927
-0.696,116.761,108.347,68.576,89.566
0.72,94.864,102.301,92.152,103.799
0.175,94.8,116.301,90.323,105.51
0.24,106.11,111.575,62.709,91.217
0.688,115.582,99.571,118.847,108.518
-0.674,100.167,105.526,130.538,117.625
-0.217,95.092,112.112,75.777,90.229
-0.518,90.775,113.729,108.024,123.557
-0.298,103.696,106.4,99.092,80.38
-0.377,83.624,79.578,113.011,89.282
0.813,113.909,92.527,114.078,94.255
-0.774,112.872,108.161,129.367,119.013
0.764,81.141,139.293,97.17,82.611
-0.757,90.112,130.516,102.471,65.316
-0.328,130.976,96.492,114.544,88.613
0.02,108.864,90.575,113.116,115.37
-0.398,118.788,86.381,112.351,107.2
-0.933,126.886,92.445,93.172,93.018
0.105,116.585,82.27,112.868,91.877
-0.495,104.014,126.929,106.015,119.896
0.709,118.664,85.892,100.114,90.384
-0.307,123.062,86.652,108.066,115.702
-0.948,96.935,78.332,100.913,105.29
0.823,66.759,87.911,100.769,120.097
-0.187,91.151,119.163,101.276,86.624
-0.773,70.51,96.102,101.371,97.677
0.672,104.82,99.319,96.449,125.916
-0.03,94.938,93.891,97.794,71.735
0.846,77.963,143.284,100.106,102.698
0.516,124.176,76.988,77.655,111.403
0.886,108.908,95.374,116.214,95.077
-0.382,101.746,100.775,105.614,98.072
0.571,98.326,119.916,96.427,95.118
-0.839,93.479,134.459,94.705,118.514
-0.447,97.044,102.144,99.222,125.786
-0.301,97.529,111.109,92.592,91.756
-0.914,110.226,91.499,83.001,100.925
-0.044,55.913,127.191,92.496,101.28
-0.213,81.357,104.264,90.284,99.196
0.808,99.756,75.996,111.882,88.73
-0.917,100.699,120.666,93.997,110.047
-0.899,99.792,80.202,129.268,109.062
-0.806,129.088,103.028,70.418,104.442
-0.279,98.424,88.528,114.464,122.452
-0.547,92.79,108.025,119.639,110.624
-0.898,98.233,131.173,98.641,99.481
-0.307,120.383,69.457,99.923,91.989
0.741,90.266,95.027,96.412,103.403
-0.755,111.392,105.759,123.766,97.058
-0.216,128.25,123.392,117.979,132.933
-0.52,123.302,109.626,121.752,102.981
-0.972,78.005,85.985,111.228,119.027
-0.283,101.693,119.072,77.947,89.118
0.773,111.352,106.959,110.471,111.3
-0.299,106.228,106.449,97.303,122.201
-0.627,89.466,92.148,112.954,110.976
0.371,110.311,107.297,84.452,85.875
-0.143,94.465,83.411,96.759,63.095
0.171,77.269,109.906,84.292,100.515
0.386,106.531,119.327,126.408,96.906
