id gender age friends
SUB92374 M 68 4
SUB90672 F 68 6
SUB44898 F 65 2
SUB78396 F 66 6
SUB70059 M 68 8
SUB61862 F 75 5
SUB43323 F 65 2
SUB18774 F 70 3
SUB32997 F 70 4
SUB54580 M 72 0
SUB77600 F 71 2
SUB96386 M 75 7
SUB32992 M 66 1
SUB11045 M 67 5
SUB46203 M 75 4
SUB30094 M 69 2
SUB84324 M 70 5
SUB49537 M 66 2
SUB74224 F 68 8
SUB34435 M 67 1
SUB79458 M 67 0
SUB80500 M 72 0
SUB37171 M 70 0
SUB68112 M 72 5
SUB82504 M 72 3
SUB83345 F 69 4
SUB37669 M 66 3
SUB11339 M 74 3
SUB86057 M 72 3
SUB99935 M 69 3
SUB72312 M 67 1
SUB50850 F 69 3
SUB25364 M 68 2
SUB47208 F 73 3
SUB59996 F 69 1
SUB57750 M 66 3
SUB14263 M 71 1
SUB92528 F 71 2
SUB40672 M 67 1
SUB93867 F 68 0
SUB58447 M 75 2
SUB62184 F 70 2
SUB80728 M 65 0
SUB14704 M 69 1
SUB37133 M 73 7
SUB28935 M 69 1
SUB35791 F 66 7
SUB71441 F 67 8
SUB67002 M 74 4
SUB75632 M 66 4
SUB91809 F 75 4
SUB41223 F 74 5
SUB30005 F 75 2
SUB85416 M 72 0
SUB92520 M 75 1
SUB28392 F 68 3
SUB26253 M 72 4
SUB67262 F 71 5
SUB66226 M 74 2
SUB41248 M 75 4
SUB85320 F 70 3
SUB70068 F 75 2
SUB87970 M 70 4
SUB15676 M 65 1
SUB28384 M 74 4
SUB39521 M 70 2
SUB22587 M 67 4
SUB99929 F 72 8
SUB54837 M 67 2
SUB95094 M 73 1
SUB15510 F 69 2
SUB76170 M 67 1
SUB24857 M 69 5
SUB32623 F 74 2
SUB66708 F 71 3
SUB31952 M 73 5
SUB35391 F 68 10
SUB59478 M 68 2
SUB18783 F 71 5
SUB51979 M 66 2
SUB70695 F 73 5
SUB70779 M 74 5
SUB29237 F 75 2
SUB44629 M 68 1
SUB49587 F 75 8
SUB32995 F 75 4
SUB60127 M 67 5
SUB86088 M 74 2
SUB58972 F 69 3
SUB37596 M 71 1
SUB26704 M 69 3
SUB89366 F 71 4
SUB43979 F 70 3
SUB32027 M 75 10
SUB28363 M 69 0
SUB97304 M 72 1
SUB64780 M 74 3
SUB27634 F 70 2
SUB36261 F 69 1
SUB46111 F 72 2
SUB79530 M 65 3
SUB41035 M 73 1
SUB96609 M 75 2
SUB12070 M 68 0
SUB39082 M 73 8
SUB40330 F 70 3
SUB63284 M 70 4
SUB91640 M 67 0
SUB83946 F 65 2
SUB74965 M 66 2
SUB20426 F 74 0
SUB65676 F 70 3
SUB84665 M 68 3
SUB14542 F 71 6
SUB34210 M 70 6
SUB14458 F 70 2
SUB88957 M 67 10
SUB49325 M 71 1
SUB90070 F 70 2
SUB26571 M 72 2
SUB97181 M 71 8
SUB91108 F 75 4
SUB95175 F 72 3
SUB87084 F 71 4
SUB17927 F 71 2
SUB65670 F 65 3
SUB36202 M 70 1
SUB34030 F 67 6
SUB11425 F 71 2
SUB68809 M 65 2
SUB59531 F 70 5
SUB94115 F 71 9
SUB60229 F 73 3
SUB39529 F 72 5
SUB62564 M 67 0
SUB36620 F 65 0
SUB88189 F 72 5
SUB18474 M 67 0
SUB73869 F 69 1
SUB18049 F 66 5
SUB61364 F 66 3
SUB67010 F 74 1
SUB84926 M 73 2
SUB85396 F 70 2
SUB31091 F 65 3
SUB44289 F 66 6
SUB92800 M 65 4
SUB84306 F 66 5
SUB93162 M 73 0
SUB95729 F 74 5
SUB13049 F 67 2
SUB17587 F 73 8
SUB89920 F 71 8
SUB25480 M 66 1
SUB51645 M 75 0
SUB46067 F 73 3
SUB24140 M 67 0
SUB31639 M 71 1
SUB95662 F 68 4
SUB37905 F 68 4
SUB20300 M 75 2
SUB98725 F 65 7
SUB71458 M 69 6
SUB79342 F 66 3
SUB52525 F 72 7
SUB75008 M 74 1
SUB37019 F 69 4
SUB29494 F 72 8
